gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
CNR1,1268,layer 6,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 6,+++++,"scattered(1,2+)","scattered(1,2+)"
CNTNAP2,26047,NA,++++,scattered+ubiquitous,scattered+ubiquitous
CNTNAP4,85445,interneuron,+++++,scattered+ubiquitous,scattered+ubiquitous
CNTNAP4,85445,interneuron,+++++,scattered+ubiquitous,scattered+ubiquitous
CNTNAP4,85445,laminar,+++++,scattered+ubiquitous,scattered+ubiquitous
CNTNAP4,85445,laminar,+++++,scattered+ubiquitous,scattered+ubiquitous
COL12A1,1303,NA,+++,"scattered(2/3,5/6)",scattered
COL24A1,255631,layer 2,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 2,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 2,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 2,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 3,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 3,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 3,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 3,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 5,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 5,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 5,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 5,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 6,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 6,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 6,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL24A1,255631,layer 6,++++,"layer 2/3,5/6","layer 2/3,5,6"
COL5A1,1289,NA,++++,"ubiquitous(2/3,6)",ubiquitous
COL6A1,1291,layer 3,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 3,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 3,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 3,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 4,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 4,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 4,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 4,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 5,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 5,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 5,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 5,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 6,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 6,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 6,++++,ubiquitous,"ubiquitous(3,4)"
COL6A1,1291,layer 6,++++,ubiquitous,"ubiquitous(3,4)"
COL9A3,1299,NA,+++,scattered,scattered
COMT,1312,NA,+++,ubiquitous,ubiquitous
CORT,1325,interneuron,++++,sparse,sparse
COX6A2,1339,NA,++++,scattered+ubiquitous,scattered+ubiquitous
COX8A,1351,NA,++++,scattered+ubiquitous,scattered+ubiquitous
CPLX3,594855,interneuron,++++,"scattered(1,6)",scattered
CPNE7,27132,interneuron,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,interneuron,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
